Name + Duration,Reign Start,Reign End,Dynasty,Succession Relation,Main Residence (Status Today),Main Currency,Famous Events (Best Highlights),Famous Events (Worst Highlights),Primary Museum (Specific Focus),Other Museums (Recommended to visit to know more),Puzzle Pieces per Bay,Puzzle Completion Reward,Message after the puzzle completion (How Reign Ended),Image
"Romdhane Bey (20 years)",1593,1613,MOURADITE,"No (from military, first Ottoman-appointed Bey officer)","Dar El Bey, Kasbah Tunis (parts exist as UNESCO World Heritage Site since 1979 - Medina of Tunis protected for Ottoman-beylical history)","Ottoman Piastre","- Established independent Bey title in 1593, breaking direct Ottoman control- Built early fortifications against Spanish threats in the 1600s","- Faced internal tribal revolts from 1605-1610 that weakened central authority","National Bardo Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit; sometimes 20% discount in coffee near museum","You found the bay! Romdhane Bey died naturally at old age in 1613 after 20 years of rule.",""
"Mourad 1st Bey (18 years)",1613,1631,MOURADITE,"No (from military, Albanian soldier succeeding Romdhane)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Ottoman Piastre","- Founded the stable Mouradite dynasty in 1613 as its defining ruler- Successfully defeated major Spanish invasions in 1624, securing coasts","- Suppressed corsair rebellions in La Goulette from 1627-1630 amid economic unrest","Currency Museum of Tunisia","National Bardo Museum","9","50% discount for your next museum visit","You found the bay! Mourad 1st Bey was assassinated by rebellious military rivals in June 1631 after 18 years of rule.",""
"Hammouda Pacha Bey (35 years)",1631,1666,MOURADITE,"Yes (son of Mourad I)","Dar El Bey, Kasbah (parts exist - Medina of Tunis)","Ottoman Piastre","- Greatly expanded Kasbah defenses in the 1630s for better protection- Achieved naval victories over Malta knights in 1655, boosting prestige","- Engaged in prolonged succession wars with brothers during the 1660s","National Military Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit; sometimes discount in coffee near museum","You found the bay! Hammouda Pacha Bey died naturally from advanced age in 1666 after 35 years of rule.",""
"Mourad 2nd Bey (9 years)",1666,1675,MOURADITE,"No (from military, brother of Hammouda Pacha Bey)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Ottoman Piastre","- Stabilized the regime immediately after civil wars in 1666- Forged key tribal alliances around 1670 to consolidate inland control","- Ordered executions of family rivals from 1672-1675, sparking resentment","National Bardo Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit","You found the bay! Mourad 2nd Bey was overthrown and executed by rebel factions in 1675 after 9 years of rule.",""
"Mohamed Bey El Mouradi (21 years)",1675,1696,MOURADITE,"No (from family, brother of Hammouda Pacha Bey)","Dar El Bey + Bardo Palace (now National Bardo Museum - major Tunis history site with Roman/mosque artifacts)","Ottoman Piastre","- Negotiated power-sharing pact with brother Ali in 1675 for temporary stability- Oversaw major infrastructure builds like palaces in the 1680s","- Escalated fratricidal civil war throughout the 1690s, dividing the dynasty","National Bardo Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit; sometimes 10% discount in Medina handicrafts","You found the bay! Mohamed Bey El Mouradi died naturally amid unresolved civil war in 1696 after 21 years of rule.",""
"Romdhane Bey (3 years)",1696,1699,MOURADITE,"No (from military, distant Mouradite clan relative)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Ottoman Piastre","- Introduced brief but effective tax reforms in 1696 to refill treasuries- Negotiated short-lived peace treaty with Algiers in 1698","- Overthrown by coup from Mourad III supporters in 1699","Currency Museum of Tunisia","","9","50% discount for your next museum visit","You found the bay! Romdhane Bey was deposed and exiled by Mourad III's coup in 1699 after 3 years of rule.",""
"Mourad 3rd Bey (3 years)",1699,1702,MOURADITE,"No (from family, lineal descendant of Mourad I line)","Dar El Bey + Abdelliya Palace, La Marsa (exists today - summer residence suburb of Tunis)","Ottoman Piastre","- Secured tribal pacts for internal stability right after taking power in 1699- Launched successful anti-Algerian military campaigns in 1700-1701","- Suffered decisive defeat by full Algerian invasion in 1702","National Bardo Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit; sometimes discount in coffee near museum","You found the bay! Mourad 3rd Bey was killed in battle against Algerian forces in 1702 after 3 years of rule.",""
"Ibrahim Cherif (3 years)",1702,1705,MOURADITE,"No (from Ottoman administration, non-dynastic appointee)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Ottoman Piastre","- Arranged smooth handover preparations to Hussein by 1705- Implemented minor administrative reforms in 1703 for efficiency","- Alienated local elites and tribes from 1704-1705, ending Mouradite era","National Bardo Museum","","9","50% discount for your next museum visit","You found the bay! Ibrahim Cherif was deposed by Hussein's popular uprising in 1705 after 3 years of rule.",""
"Hussein 1st Bey (30 years)",1705,1735,HUSSEINITE,"No (from military, Ottoman Turkish officer, dynasty founder)","Dar El Bey + Abdelliya Palace, La Marsa (exists - early summer palaces outside Tunis)","Budshuq (gold)","- Enacted hereditary succession law in 1710, founding Husseinite dynasty- Constructed iconic Tourbet el-Bey mausoleum in the 1730s (Husseinite burial site in Tunis medina)","- Suppressed major tribal and urban revolts from 1715-1725","Dar Ben Abdallah Museum","National Bardo Museum","9","50% discount for your next museum visit","You found the bay! Hussein 1st Bey died naturally after a 30-year founding reign in 1735.",""
"Ali 1st Pacha (21 years)",1735,1756,HUSSEINITE,"Yes (son of Hussein I)","Dar El Bey + Bardo Palace (now National Bardo Museum - major Tunis history site)","Budshuq","- Oversaw trade boom with Europe throughout the prosperous 1740s- Modernized navy with new ships around 1750 for better defense","- Invaded and decapitated during Algerian military campaign in 1756","National Military Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit","You found the bay! Ali 1st Pacha was decapitated by invading Algerian troops in 1756 after 21 years of rule.",""
"Mohamed Rachid Bey (3 years)",1756,1759,HUSSEINITE,"No (from family, grandson of Hussein I)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Budshuq","- Attempted administrative centralization reforms starting in 1757","- Assassinated by mutinous Janissaries in 1759 after short rule","National Bardo Museum","","9","50% discount for your next museum visit","You found the bay! Mohamed Rachid Bey was assassinated by mutinous Janissaries in 1759 after 3 years of rule.",""
"Ali 2nd Bey (23 years)",1759,1782,HUSSEINITE,"Yes (son of Hussein I)","Dar El Bey + Tourbet el-Bey (mausoleum in UNESCO Tunis medina - Husseinite tombs)","Budshuq","- Established stable regency for son Hammouda starting in 1777- Signed multiple peace treaties with neighbors in the 1770s","- Faced repeated military pressures and raids from Algerians in the 1780s","National Bardo Museum","","9","50% discount for your next museum visit","You found the bay! Ali 2nd Bey died naturally after stable 23-year rule in 1782.",""
"Hammouda Pacha (32 years)",1782,1814,HUSSEINITE,"Yes (son of Ali II)","Dar El Bey + Palais de la Rose (now military museum near Hammam Lif beach south of Tunis)","Budshuq/Rigoun","- Maintained 32-year stability from 1782-1814, Tunisia's longest reign- Broke harmful Venice trade monopoly in 1797 for economic gain","- Became diplomatically isolated from Europe in the 1800s- Involved in costly US Barbary War from 1801-1805","National Military Museum","Currency Museum of Tunisia","9","50% discount for your next museum visit","You found the bay! Hammouda Pacha died naturally after Tunisia's longest reign in 1814.",""
"Osman Bey (3 months)",1814,1814,HUSSEINITE,"No (from family, brother/relative of Hammouda Pacha)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Rigoun","- Achieved rapid power consolidation upon taking throne in 1814","- Swiftly overthrown after just 3 months of rule in 1814","National Bardo Museum","","9","50% discount for your next museum visit","You found the bay! Osman Bey was deposed by Mahmoud Bey's quick coup in 1814 after 3 months of rule.",""
"Mahmoud Bey (10 years)",1814,1824,HUSSEINITE,"No (from family, brother of Hussein I, uncle line)","Dar El Bey + Abdelliya Palace, La Marsa (exists - beachside suburb of Tunis)","Rigoun","- Reformed corsair fleet operations starting in 1815 for revenue- Restructured national debt agreements around 1820","- Granted unfavorable capitulation treaties to European powers in 1820s","Currency Museum of Tunisia","","9","50% discount for your next museum visit","You found the bay! Mahmoud Bey died naturally after 10-year economic rule in 1824.",""
"Hussein 2nd Bey (11 years)",1824,1835,HUSSEINITE,"Yes (son of Hammouda)","Dar El Bey + Bardo Palace (now National Bardo Museum)","Rigoun/Proto-franc","- Signed beneficial trade pacts with Algeria in 1825- Began early modernization projects around 1830","- Accumulated massive public debt throughout the 1830s","National Bardo Museum","","9","50% discount for your next museum visit","You found the bay! Hussein 2nd Bey died naturally from illness during reforms in 1835 after 11 years of rule.",""
"Moustapha Bey (2 years)",1835,1837,HUSSEINITE,"No (from family, brother of Hussein 2nd Bey)","Dar El Bey, Kasbah Tunis (parts exist - Medina of Tunis)","Proto-franc","- Reorganized army structure and training in 1836","- Deposed by uncles and family rivals in 1837","National Military Museum","","9","50% discount for your next museum visit","You found the bay! Moustapha Bey was deposed by family-led military coup in 1837 after 2 years of rule.",""
"Ahmed 1st Bey (18 years)",1837,1855,HUSSEINITE,"Yes (son of Mahmoud)","Dar El Bey + Hammam Lif Palace (partial ruins remain - beach resort south of Tunis)","Tunisian Franc","- Abolished black slavery across Tunisia in 1846- Implemented Nizam military reforms in the 1840s","- Signed capitulation treaties conceding rights to Europe in 1850s","Dar Ben Abdallah Museum","","9","50% discount for your next museum visit","You found the bay! Ahmed 1st Bey died naturally after major social reforms in 1855.",""
